"Part";"Value";"Device";"Package";"Description";"";
"C1";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C2";"100n";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"IC1";"";"24CWXXX";"SOIC-8(MICROCHIP)";"";"";
"IC2";"LTV846S";"LVT846";"DIL16-SMD";"";"";
"IC3";"LTV846S";"LVT846";"DIL16-SMD";"";"";
"IC4";"74AHCT541A";"74AHCT541A";"TSSOP20";"";"";
"IC5";"74AHCT541A";"74AHCT541A";"TSSOP20";"";"";
"IC6";"LM358D";"LM358D";"SO08";"OP AMP also LM158; LM258; LM2904";"";
"IC7";"ULN2003AD";"ULN2003AD";"SO16";"DRIVER ARRAY";"";
"JP1";"PINHD-1X4";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP2";"PINHD-1X4";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP3";"PINHD-1X2";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP4";"PINHD-1X4";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP5";"PINHD-1X3";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP6";"";"PINHD-1X6";"1X06";"PIN HEADER";"";
"JP7";"PINHD-1X4";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP8";"PINHD-1X4";"PINHD-1X4";"1X04";"PIN HEADER";"";
"LED1";"";"LED3MM";"LED3MM";"LED";"";
"LED2";"";"LED3MM";"LED3MM";"LED";"";
"R1";"1500";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R2";"330";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R3";"330";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R4";"330";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R5";"330";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R6";"330";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R7";"330";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R8";"330";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R9";"330";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R10";"330";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R11";"2.4K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R12";"2.4K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R13";"10K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R14";"10K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R15";"4.7K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R16";"10K";"TIMPOT_102";"B64Y";"";"";
"R17";"10K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"TNY1";"";"TEENSY4.0";"TEENSY4.0";"";"";
"TR1";"T35-2";"T35-2";"T35-2";"";"";
"TR2";"T35-2";"T35-2";"T35-2";"";"";
"TR3";"T35-2";"T35-2";"T35-2";"";"";
"TR4";"T35-2";"T35-2";"T35-2";"";"";
"TR5";"T35-2";"T35-2";"T35-2";"";"";
"TR6";"T35-2";"T35-2";"T35-2";"";"";
"TR7";"T35-2";"T35-2";"T35-2";"";"";
"TR8";"T35-2";"T35-2";"T35-2";"";"";
"TR9";"T35-2";"T35-2";"T35-2";"";"";
"TR10";"T35-2";"T35-2";"T35-2";"";"";
"TR11";"T35-4";"T35-4";"T35-4";"";"";
"TR12";"T35-4";"T35-4";"T35-4";"";"";
"TR13";"T35-4";"T35-4";"T35-4";"";"";
"TR14";"T35-2";"T35-2";"T35-2";"";"";
"TR15";"T35-2";"T35-2";"T35-2";"";"";
"TR16";"T35-2";"T35-2";"T35-2";"";"";
"TR17";"T35-2";"T35-2";"T35-2";"";"";
"TR18";"T35-2";"T35-2";"T35-2";"";"";
"TR19";"T35-4";"T35-4";"T35-4";"";"";
"TR20";"T35-4";"T35-4";"T35-4";"";"";
